# Setpoints,Voltages
1.130000000000000000e+02,9.163675499999998642e-02
1.140000000000000000e+02,9.241757500000000181e-02
1.150000000000000000e+02,9.319797999999998583e-02
1.160000000000000000e+02,9.398020500000001110e-02
1.170000000000000000e+02,9.477184499999999345e-02
1.180000000000000000e+02,9.557220499999999341e-02
1.190000000000000000e+02,9.637625999999999138e-02
1.200000000000000000e+02,9.717955999999999817e-02
1.210000000000000000e+02,9.799756999999999219e-02
1.220000000000000000e+02,9.881105499999999486e-02
1.230000000000000000e+02,9.959795000000000453e-02
1.240000000000000000e+02,1.003993999999999998e-01
1.250000000000000000e+02,1.011998500000000079e-01
1.260000000000000000e+02,1.019948999999999995e-01
1.270000000000000000e+02,1.028251500000000040e-01
1.280000000000000000e+02,1.036453499999999972e-01
1.290000000000000000e+02,1.043965999999999922e-01
1.300000000000000000e+02,1.051727500000000093e-01
1.310000000000000000e+02,1.059559500000000209e-01
1.320000000000000000e+02,1.067050499999999957e-01
1.330000000000000000e+02,1.074735999999999886e-01
1.340000000000000000e+02,1.082536000000000193e-01
1.350000000000000000e+02,1.090171999999999947e-01
1.360000000000000000e+02,1.097712999999999883e-01
1.370000000000000000e+02,1.105475500000000083e-01
1.380000000000000000e+02,1.113131499999999996e-01
1.390000000000000000e+02,1.120731499999999825e-01
1.400000000000000000e+02,1.128605499999999762e-01
1.410000000000000000e+02,1.136100999999999778e-01
1.420000000000000000e+02,1.143427000000000193e-01
1.430000000000000000e+02,1.151011999999999869e-01
1.440000000000000000e+02,1.158831000000000166e-01
1.450000000000000000e+02,1.166839999999999822e-01
1.460000000000000000e+02,1.174325999999999981e-01
1.470000000000000000e+02,1.182080999999999688e-01
1.480000000000000000e+02,1.189805999999999919e-01
1.490000000000000000e+02,1.197343999999999908e-01
1.500000000000000000e+02,1.205135499999999971e-01
1.510000000000000000e+02,1.212850499999999776e-01
1.520000000000000000e+02,1.220522999999999747e-01
1.530000000000000000e+02,1.228278499999999884e-01
1.540000000000000000e+02,1.235854000000000258e-01
1.550000000000000000e+02,1.243804000000000159e-01
1.560000000000000000e+02,1.251223499999999933e-01
1.570000000000000000e+02,1.259057999999999844e-01
1.580000000000000000e+02,1.266608500000000193e-01
1.590000000000000000e+02,1.274271500000000168e-01
1.600000000000000000e+02,1.282128499999999893e-01
1.610000000000000000e+02,1.289720499999999770e-01
