# Setpoints,Voltages
3.000000000000000000e+02,2.332355499999999859e-01
3.010000000000000000e+02,2.340032500000000515e-01
3.020000000000000000e+02,2.348028999999999811e-01
3.030000000000000000e+02,2.355910000000000226e-01
3.040000000000000000e+02,2.363736499999999907e-01
3.050000000000000000e+02,2.371702499999999991e-01
3.060000000000000000e+02,2.379768999999999912e-01
3.070000000000000000e+02,2.387709999999999833e-01
3.080000000000000000e+02,2.395168500000000034e-01
3.090000000000000000e+02,2.403155000000000430e-01
3.100000000000000000e+02,2.410894000000000370e-01
3.110000000000000000e+02,2.418949000000000515e-01
3.120000000000000000e+02,2.426977999999999636e-01
3.130000000000000000e+02,2.434956500000000079e-01
3.140000000000000000e+02,2.442969499999999849e-01
3.150000000000000000e+02,2.450702500000000172e-01
3.160000000000000000e+02,2.458499999999999852e-01
3.170000000000000000e+02,2.466516499999999446e-01
3.180000000000000000e+02,2.474067999999999823e-01
3.190000000000000000e+02,2.482106000000000035e-01
3.200000000000000000e+02,2.490070499999999798e-01
3.210000000000000000e+02,2.497724000000000333e-01
3.220000000000000000e+02,2.505590500000000054e-01
3.230000000000000000e+02,2.513316500000000731e-01
3.240000000000000000e+02,2.521396000000000193e-01
3.250000000000000000e+02,2.529333000000000276e-01
3.260000000000000000e+02,2.537308999999999815e-01
3.270000000000000000e+02,2.545016500000000237e-01
3.280000000000000000e+02,2.552546999999999455e-01
3.290000000000000000e+02,2.561100499999999780e-01
3.300000000000000000e+02,2.568906000000000245e-01
3.310000000000000000e+02,2.576466999999999508e-01
3.320000000000000000e+02,2.584160999999999819e-01
3.330000000000000000e+02,2.591982999999999926e-01
3.340000000000000000e+02,2.599708500000000311e-01
3.350000000000000000e+02,2.607325999999999810e-01
3.360000000000000000e+02,2.615596499999999769e-01
3.370000000000000000e+02,2.623381999999999659e-01
3.380000000000000000e+02,2.631024999999999614e-01
3.390000000000000000e+02,2.639106999999999981e-01
3.400000000000000000e+02,2.647000500000000200e-01
3.410000000000000000e+02,2.654729500000000408e-01
3.420000000000000000e+02,2.662096500000000199e-01
3.430000000000000000e+02,2.669787499999999314e-01
3.440000000000000000e+02,2.677532999999999719e-01
3.450000000000000000e+02,2.685417999999999972e-01
